FID,SDLEA10,NAME,NAME2,E1E2_STAAR,DISTRICT_N,DISTRICT,DISTRICT_C,NCES_DISTR,COLOR,Shape_area,Shape_len,Shape__Area,Shape__Length
974,7380,Abbott ISD,Abbott,-5,109901,109-901,109901,4807380,1,193668700.3,92347.74519,270540320.9,109172.7744
899,7410,Abernathy ISD,Abernathy,-5,95901,095-901,95901,4807410,3,468618008.3,127989.2531,682817209.3,154434.6245
709,7440,Abilene ISD,Abilene,1,221901,221-901,221901,4807440,5,275320461.9,143690.1142,389425772.1,170911.9191
541,7470,Academy ISD,Academy,-5,14901,014-901,14901,4807470,3,148680500.8,82945.96584,203771802.2,97138.73759
332,7500,Adrian ISD,Adrian,-5,180903,180-903,180903,4807500,6,1720403969,236699.6465,2582866256,290207.407
366,7530,Agua Dulce ISD,Agua Dulce,-5,178901,178-901,178901,4807530,4,252906082.1,83115.95316,324562968.3,94197.39603
649,7590,Alamo Heights ISD,Alamo Heights,-5,15901,015-901,15901,4807590,5,24064709.37,26620.55773,31982998.84,30698.05996
379,7650,Alba-Golden ISD,Alba-Golden,-5,250906,250-906,250906,4807650,7,245465946.4,116724.4468,349369238.1,139283.9241
716,7680,Albany ISD,Albany,-5,209901,209-901,209901,4807680,4,1531802577,211682.5277,2180479539,252488.8665
745,7710,Aldine ISD,Aldine,1,101902,101-902,101902,4807710,6,281901189.2,109344.8712,378148578.9,126644.689
642,7780,Aledo ISD,Aledo,-5,184907,184-907,184907,4807780,4,340312369.7,116154.0777,483458291,138516.5861
488,7800,Alice ISD,Alice,-5,125901,125-901,125901,4807800,1,779938980,187701.6878,1001837204,212775.8367
769,7830,Alief ISD,Alief,0,101903,101-903,101903,4807830,1,101323253.9,52503.56201,135246391.8,60598.09164
992,7890,Allen ISD,Allen,-5,43901,043-901,43901,4807890,2,75462739.82,50264.8009,108183820.7,60165.27552
272,7950,Alpine ISD,Alpine,-5,22901,022-901,22901,4807950,3,4944156889,327467.9454,6644043093,380118.1388
562,7980,Alto ISD,Alto,-5,37901,037-901,37901,4807980,2,506274967.9,165917.6575,703709597.1,195593.6321
672,11,Alvarado ISD,Alvarado,-5,126901,126-901,126901,4800011,4,253281900.7,111073.282,357807149.7,132050.4866
778,8090,Alvin ISD,Alvin,1,20901,020-901,20901,4808090,3,647972389.8,177562.0738,859628866.4,204535.9946
995,8100,Alvord ISD,Alvord,-5,249901,249-901,249901,4808100,3,294945874,127552.4651,425294041.4,153082.8591
493,8130,Amarillo ISD,Amarillo,0,188901,188-901,188901,4808130,6,193606357.9,66081.89785,290448099.4,80919.0952
291,8160,Amherst ISD,Amherst,-5,140901,140-901,140901,4808160,1,266785493.5,77125.37944,390389050.7,93326.96253
844,8190,Anahuac ISD,Anahuac,-5,36901,036-901,36901,4808190,1,1192239592,229823.5996,1590906193,265414.5552
433,8230,Anderson-Shiro Cons ISD,Anderson-Shiro Cons,-5,93901,093-901,93901,4808230,5,681134587.8,186233.8005,925658681.7,217067.7369
519,8280,Andrews ISD,Andrews,-5,2901,002-901,2901,4808280,6,3872650914,256975.6653,5457820049,304887.0286
781,8310,Angleton ISD,Angleton,0,20902,020-902,20902,4808310,6,1121309450,402336.1621,1481778201,462456.7964
734,8340,Anna ISD,Anna,-5,43902,043-902,43902,4808340,3,158603868.3,77699.8572,228579024.4,93198.91038
47,8400,Anson ISD,Anson,-5,127901,127-901,127901,4808400,2,686427499.5,190180.3766,976259589.3,226786.9342
238,8430,Anthony ISD,Anthony,-5,71906,071-906,71906,4808430,2,18743211.14,22463.37764,26236498.77,26564.68649
896,8460,Anton ISD,Anton,-5,110901,110-901,110901,4808460,1,213198178.4,58774.75407,310163234.5,70909.91006
25,8490,Apple Springs ISD,Apple Springs,-5,228905,228-905,228905,4808490,7,288851851.7,116383.334,398332113.8,136656.3338
973,8520,Aquilla ISD,Aquilla,-5,109912,109-912,109912,4808520,2,177696931.1,95907.19112,247968012.2,113322.9967
940,8550,Aransas County ISD,Aransas County,-5,4901,004-901,4901,4808550,5,1296661204,223923.8385,1674648421,254454.564
939,8580,Aransas Pass ISD,Aransas Pass,-5,205901,205-901,205901,4808580,6,144210174.4,77398.39661,185585110.3,87821.8661
966,8610,Archer City ISD,Archer City,-5,5901,005-901,5901,4808610,3,1117764013,222138.1225,1619396181,267389.1549
1006,8670,Argyle ISD,Argyle,-5,61910,061-910,61910,4808670,6,91234870.52,72498.55877,130774667.4,86812.16186
126,8700,Arlington ISD,Arlington,0,220901,220-901,220901,4808700,4,228322022.8,97985.42938,324576072.3,116882.9357
834,8730,Arp ISD,Arp,-5,212901,212-901,212901,4808730,7,217122907.7,98774.43113,305682298.2,117205.5001
489,6,Aspermont ISD,Aspermont,-5,217901,217-901,217901,4800006,1,2092547068,206048.5781,3005732506,246903.6394
512,8870,Athens ISD,Athens,-5,107901,107-901,107901,4808870,1,609253134.3,210029.235,857080592,249123.5254
575,8880,Atlanta ISD,Atlanta,-5,34901,034-901,34901,4808880,4,650499130,255691.0931,932545466.6,306204.2983
1007,8910,Aubrey ISD,Aubrey,-5,61907,061-907,61907,4808910,3,120346905.3,61611.4984,173173274.9,73878.74948
826,8940,Austin ISD,Austin,1,227901,227-901,227901,4808940,1,592586396.6,243462.5028,800132260,282989.802
368,9000,Austwell-Tivoli ISD,Austwell-Tivoli,-5,196901,196-901,196901,4809000,6,681842890.3,140602.9479,886156833.1,160314.4892
855,9030,Avalon ISD,Avalon,-5,70901,070-901,70901,4809030,6,119942521.6,64873.86273,168702736.9,76935.95388
980,9060,Avery ISD,Avery,-5,194902,194-902,194902,4809060,6,433479786.4,171616.4746,627657881,206676.2165
30,9090,Avinger ISD,Avinger,-5,34902,034-902,34902,4809090,6,181813796.7,84511.51654,259554145.3,100920.4575
969,9150,Axtell ISD,Axtell,0,161918,161-918,161918,4809150,3,219797850.5,103521.1809,305588323.7,122087.5228
1002,9200,Azle ISD,Azle,1,220915,220-915,220915,4809200,1,238194438.5,114849.2242,339844049,137200.5671
712,9280,Baird ISD,Baird,-5,30903,030-903,30903,4809280,4,967642966.2,194012.162,1365281689,230418.3631
65,9300,Ballinger ISD,Ballinger,-5,200901,200-901,200901,4809300,2,1074078012,240762.4507,1495880425,284082.0863
32,9330,Balmorhea ISD,Balmorhea,-5,195902,195-902,195902,4809330,3,1369243354,176521.3138,1881733506,206882.9216
884,9360,Bandera ISD,Bandera,-5,10902,010-902,10902,4809360,6,816245160,158266.6066,1089497482,182685.6971
279,9390,Bangs ISD,Bangs,-5,25901,025-901,25901,4809390,5,530780175.9,158975.2304,739959834.3,187815.9954
365,9410,Banquete ISD,Banquete,-5,178913,178-913,178913,4809410,6,322692576.5,115519.4638,414700897.5,131024.7682
752,9450,Barbers Hill ISD,Barbers Hill,-5,36902,036-902,36902,4809450,3,498354939.8,184207.5937,665465131.5,212907.5602
543,9540,Bartlett ISD,Bartlett,-5,14902,014-902,14902,4809540,1,262218686.9,111109.712,358053367.2,129791.1126
815,9570,Bastrop ISD,Bastrop,0,11901,011-901,11901,4809570,4,1112577720,218630.7601,1497345042,253725.9477
60,9630,Bay City ISD,Bay City,-5,158901,158-901,158901,4809630,1,424144819.5,131298.8215,557285042.5,150566.8488
722,9670,Beaumont ISD,Beaumont,1,123910,123-910,123910,4809670,4,458909457.2,149019.9676,616920507,172838.1577
497,9690,Beckville ISD,Beckville,-5,183901,183-901,183901,4809690,1,302808488.8,130945.8846,426267963.8,155373.2155
558,9720,Beeville ISD,Beeville,-5,13901,013-901,13901,4809720,1,883712303.4,230804.3442,1148595105,263137.9835
51,9750,Bellevue ISD,Bellevue,-5,39904,039-904,39904,4809750,6,407486941.4,128023.67,590839171.1,154200.4857
16,9780,Bells ISD,Bells,-5,91901,091-901,91901,4809780,4,150884466.7,75277.70351,218795648.9,90674.69166
727,9810,Bellville ISD,Bellville,-5,8901,008-901,8901,4809810,1,998376707.4,219020.0846,1340042526,253655.2694
540,9860,Belton ISD,Belton,0,14903,014-903,14903,4809860,5,514307110.6,174534.8291,707054071.7,204616.8685
487,9870,Ben Bolt-Palito Blanco ISD,Ben Bolt-Palito Blanco,-5,125902,125-902,125902,4809870,7,357190072.2,93023.52798,456537989.1,105191.7262
705,99130,Benavides ISD,Benavides,-5,66901,066-901,66901,4899130,4,1925300326,324116.8966,2459858776,366807.71
597,9980,Benjamin ISD,Benjamin,-5,138904,138-904,138904,4809980,1,1054510119,251107.5778,1529133656,302505.8651
793,10170,Big Sandy ISD (Polk),Big Sandy (Polk),0,187901,187-901,187901,4810170,7,513166786.6,120376.1125,698010270,140417.4611
592,10140,Big Sandy ISD (Upshur),Big Sandy (Upshur),0,230901,230-901,230901,4810140,2,221734143.9,120367.1182,314520718.4,143361.0383
247,10200,Big Spring ISD,Big Spring,-5,114901,114-901,114901,4810200,7,622132650.2,194579.8269,877725108.9,231045.6702
125,10230,Birdville ISD,Birdville,-1,220902,220-902,220902,4810230,4,103954008.5,55754.57007,148168423.5,66584.46988
364,10260,Bishop Cons ISD,Bishop Cons,-5,178902,178-902,178902,4810260,3,438910530.4,149029.4309,561572032.1,168429.9405
134,5,Blackwell Cons ISD,Blackwell Cons,-5,177903,177-903,177903,4800005,6,1212804557,186930.3493,1705726810,221670.7373
952,10320,Blanco ISD,Blanco,-5,16902,016-902,16902,4810320,3,900788229.4,213243.9458,1211162666,247194.1317
665,10350,Bland ISD,Bland,-5,116915,116-915,116915,4810350,4,156226795.3,96658.78449,224370813.6,115862.8581
212,10380,Blanket ISD,Blanket,-5,25904,025-904,25904,4810380,1,243124986.5,89309.41781,339190928.4,105478.0845
574,10440,Bloomburg ISD,Bloomburg,-5,34909,034-909,34909,4810440,7,84251450.8,52738.89589,120921233.3,63245.04933
856,10470,Blooming Grove ISD,Blooming Grove,-5,175902,175-902,175902,4810470,7,427932228.9,121828.6567,600414418.3,144255.265
56,10500,Bloomington ISD,Bloomington,-5,235901,235-901,235901,4810500,5,273928506.1,100473.0646,358092232.4,114814.5779
738,10590,Blue Ridge ISD,Blue Ridge,-5,43917,043-917,43917,4810590,6,169148017,91658.81641,243491535.7,109933.6273
614,10620,Bluff Dale ISD,Bluff Dale,-5,72904,072-904,72904,4810620,6,180183178,82159.85992,254126004.1,97601.29757
864,10650,Blum ISD,Blum,-5,109913,109-913,109913,4810650,1,263640351.6,111967.5795,370130297,132639.3236
954,10710,Boerne ISD,Boerne,0,130901,130-901,130901,4810710,5,793873873.2,253744.6557,1062200722,293535.3692
260,10740,Boles ISD,Boles,-5,116916,116-916,116916,4810740,5,21983916.63,25465.62196,31415493.56,30439.15459
771,10780,Boling ISD,Boling,-5,241901,241-901,241901,4810780,3,376239995.3,126211.0098,497772789.5,145188.4322
697,10800,Bonham ISD,Bonham,-5,74903,074-903,74903,4810800,7,591515906.7,233076.8692,856199847.2,280438.7366
158,10830,Booker ISD,Booker,-5,148901,148-901,148901,4810830,4,783156487.7,186614.0568,1202829949,231321.1938
249,10860,Borden County ISD,Borden County,-5,17901,017-901,17901,4810860,4,2344363244,206931.9612,3334791099,246809.3865
92,10890,Borger ISD,Borger,-5,117901,117-901,117901,4810890,7,124807361.8,64377.55226,189112267.5,79231.34124
182,10910,Bosqueville ISD,Bosqueville,-5,161923,161-923,161923,4810910,6,60449131.77,54685.83448,83980787.64,64435.70136
400,10950,Bovina ISD,Bovina,-5,185901,185-901,185901,4810950,6,554966837.1,139156.2959,820959620.7,169289.2106
384,10990,Bowie ISD,Bowie,-5,169901,169-901,169901,4810990,7,730499404.5,175674.9068,1056470729,211221.426
1003,11010,Boyd ISD,Boyd,-5,249902,249-902,249902,4811010,3,175523474.8,90730.79144,251447517.1,108557.5588
330,11040,Boys Ranch ISD,Boys Ranch,-5,180901,180-901,180901,4811040,6,1272250.388,4542.87514,1922388.914,5584.155322
277,11070,Brackett ISD,Brackett,-5,136901,136-901,136901,4811070,7,3524222684,249866.9244,4670017171,287572.5823
187,11110,Brady ISD,Brady,-5,160901,160-901,160901,4811110,3,1804756449,306882.0618,2482040136,359987.4917
775,44470,Brazos ISD,Brazos,0,8903,008-903,8903,4844470,5,331229168,130909.0151,441218041.6,151083.0898
615,11190,Brazosport ISD,Brazosport,-1,20905,020-905,20905,4811190,5,837854025.3,216095.5921,1101750848,247914.6436
334,11220,Breckenridge ISD,Breckenridge,-5,215901,215-901,215901,4811220,1,2084797675,237208.0257,2965746972,283003.9598
3,11250,Bremond ISD,Bremond,-5,198901,198-901,198901,4811250,2,475053666.6,143568.8633,653478275.6,168346.229
733,11280,Brenham ISD,Brenham,-5,239901,239-901,239901,4811280,4,1185595978,246868.4693,1599376768,286626.6255
391,11310,Bridge City ISD,Bridge City,-5,181901,181-901,181901,4811310,3,170048422.3,90793.22566,228428524.1,105258.6046
228,11340,Bridgeport ISD,Bridgeport,-5,249903,249-903,249903,4811340,1,376704052.6,178940.3036,540598242.9,214451.9476
629,11430,Broaddus ISD,Broaddus,-5,203902,203-902,203902,4811430,1,726405229.2,232764.0608,1002305350,273320.4298
639,11460,Brock ISD,Brock,-5,184909,184-909,184909,4811460,3,229925462.8,83704.18442,326376380.9,99747.06046
67,11490,Bronte ISD,Bronte,-5,41901,041-901,41901,4811490,7,847520550,204124.1127,1183194501,241073.6231
631,11520,Brookeland ISD,Brookeland,-5,121902,121-902,121902,4811520,3,389133660.9,134289.656,535193855,157423.4745
584,11550,Brookesmith ISD,Brookesmith,-5,25908,025-908,25908,4811550,3,409364284.8,123082.5949,567724002,144967.9861
913,11580,Brooks County ISD,Brooks County,-5,24901,024-901,24901,4811580,1,2446281059,215227.8081,3092502445,242006.7243
426,11610,Brownfield ISD,Brownfield,0,223901,223-901,223901,4811610,2,994235062.1,194589.4275,1428850345,233234.8206
839,11640,Brownsboro ISD,Brownsboro,-5,107902,107-902,107902,4811640,2,497135548.1,166339.6025,700107704,197345.3593
484,11680,Brownsville ISD,Brownsville,1,31901,031-901,31901,4811680,3,263986814.6,152828.6843,326523346,170059.3666
337,11700,Brownwood ISD,Brownwood,-5,25902,025-902,25902,4811700,1,359944515.4,156409.2236,500530398.9,184527.8356
546,11730,Bruceville-Eddy ISD,Bruceville-Eddy,-5,161919,161-919,161919,4811730,2,182130462.9,89004.69247,251270571.7,104544.0678
731,11790,Bryan ISD,Bryan,0,21902,021-902,21902,4811790,7,1053917724,247554.5919,1437479798,289079.9943
383,11820,Bryson ISD,Bryson,-5,119901,119-901,119901,4811820,3,469239875.5,135310.8556,673594352,162224.231
310,11850,Buckholts ISD,Buckholts,-5,166907,166-907,166907,4811850,1,132979677.5,76668.32686,181888653.9,89680.63443
376,11910,Buena Vista ISD,Buena Vista,-5,186901,186-901,186901,4811910,4,2250127956,315298.3726,3089990258,369765.9178
408,11990,Buffalo ISD,Buffalo,-5,145901,145-901,145901,4811990,6,689860357.9,200728.6041,954976016.4,236184.7724
836,12060,Bullard ISD,Bullard,-5,212902,212-902,212902,4812060,3,220461672.2,88459.50819,309540899.7,104772.2043
