District_Name	LAT	LONG	Point-A	Point-B	Point-C	Point-D	Point E
Abilene ISD	32.52	-99.75	0	0	1		1
Aldine ISD	29.95	-95.38	-1	1	1		1
Alief ISD	29.70	-95.58	0	0	0		0
Alvin ISD	29.48	-95.35	-1	1	1		1
Amarillo ISD	35.21	-101.84	0	0	0		0
Angleton ISD	29.20	-95.44	0	0	0		0
Arlington ISD	32.71	-97.12	-1	0	1		0
Austin ISD	30.24	-97.77	-1	1	1		1
Axtell ISD	31.65	-96.94	0	0	0		0
Azle ISD	32.89	-97.55	0	0	1		1
Bastrop ISD	30.13	-97.40	-1	0	1		0
Beaumont ISD	30.06	-94.20	0	0	1		1
Belton ISD	31.13	-97.51	0	0	0		0
Big Sandy ISD	30.60	-94.69	0	0	0		0
Birdville ISD	32.86	-97.24	-1	0	0		-1
Boerne ISD	29.85	-98.69	0	0	0		0
Brazos ISD	29.60	-96.00	0	0	0		0
Brazosport ISD	28.98	-95.37	-1	0	0		-1
Brownfield ISD	33.24	-102.48	0	0	0		0
Brownsville ISD	25.93	-97.46	-1	1	1		1
Bryan ISD	30.66	-96.37	0	0	0		0
Burleson ISD	32.54	-97.29	0	0	1		1
Canutillo ISD	31.92	-106.56	0	0	0		0
Canyon ISD	35.05	-101.94	0	0	0		0
Carrollton-Farmers Branch ISD	32.96	-96.90	-1	1	1		1
Castleberry ISD	32.78	-97.40	0	0	0		0
Cedar  Hill ISD	32.60	-96.98	0	0	0		0
Channelview ISD	29.80	-95.11	0	0	0		0
Chapel Hill ISD	33.11	-94.87	0	0	0		0
Clear Creek ISD	29.57	-95.10	-1	1	1		1
Cleveland ISD	30.34	-95.13	0	0	0		0
Clint ISD	31.84	-106.12	-1	1	1		1
College Station ISD	30.55	-96.30	0	0	0		0
Columbus ISD	29.81	-96.54	0	0	0		0
Comal ISD	29.89	-98.27	-1	0	1		0
Conroe ISD	30.30	-95.44	0	0	0		0
Coppell ISD	32.96	-96.98	0	0	0		0
Corpus Christi ISD	27.79	-97.42	-1	1	1		1
Crandall ISD	32.62	-96.45	0	0	0		0
Crocett ISD	31.33	-95.46	0	0	0		0
Crosby ISD	29.91	-95.04	0	0	0		0
Crowell ISD	33.94	-99.76	0	0	0		0
Cy-Fair ISD	29.92	-95.69	0	0	1		1
Dallas ISD	32.81	-96.77	-1	1	1		1
Dawson ISD	31.88	-96.62	0	0	0		0
Del Valle ISD	30.18	-97.66	0	0	0		0
Denton ISD	33.23	-97.07	-1	0	0		-1
Donna ISD	26.19	-98.07	0	0	0		0
Dumas ISD	35.86	-101.98	0	0	0		0
Duncanville ISD	32.66	-96.93	0	0	0		0
Eagle Mountain-Saginaw ISD	32.90	-97.42	0	0	0		0
Eagle Pass	28.81	-100.35	0	0	0		0
Ector County ISD	31.85	-102.37	-1	1	1		1
Edcouch Elsa ISD	26.29	-97.97	0	0	0		0
Edgewood ISD	29.43	-98.57	0	0	0		0
Edinburg CISD	26.31	-98.17	-1	1	1		1
El Paso Academy 	31.75	-106.33	0	0	0		0
El Paso ISD	31.79	-106.40	-1	1	1		1
Elgin ISD	30.35	-97.38	0	0	0		0
Erath Excels Academy 	32.19	-98.25	0	0	0		0
Excel Academy Houston	29.70	-95.42	-1	0	0		-1
Forney ISD	32.74	-96.48	0	0	1		1
Fort Bend ISD	29.57	-95.58	-1	1	1		1
Forth Worth ISD	32.69	-97.35	-1	1	1		1
Frenship ISD	33.52	-102.01	0	0	0		0
Frisco ISD	33.12	-96.80	0	0	0		0
Galena Park ISD	29.77	-95.18	-1	0	0		-1
Galveston ISD	29.31	-94.85	0	0	0		0
Garland ISD	32.91	-96.68	-1	1	1		1
Georgetown ISD	30.66	-97.68	0	1	1		2
Goose Creek CISD	29.78	-94.96	0	0	1		1
Grand Prarie ISD	32.71	-96.99	0	0	0		0
Grapevine-colleyville ISD	32.91	-97.07	0	0	0		0
Harlandale ISD	29.35	-98.49	0	0	0		0
Harlingen CISD	26.20	-97.68	0	0	0		0
Hays CISD	30.01	-97.86	-1	1	0		0
Hereford ISD	34.83	-102.39	0	0	0		0
Hidalgo ISD	26.10	-98.25	0	0	0		0
Highland Park ISD	35.25	-101.65	0	0	0		0
Houston ISD	29.80	-95.45	-1	1	1		1
Humble ISD	30.01	-95.26	0	0	1		1
Hurst-Euless-Bedford ISD	32.83	-97.12	-1	0	0		-1
Irving ISD	32.83	-96.94	-1	0	1		0
John H Wood Jr. Charter	32.45	-97.80	-1	1	0		0
Joshua ISD	32.46	-97.39	0	0	0		0
Judson ISD	29.55	-98.33	-1	0	0		-1
Katy ISD	29.80	-95.81	0	0	0		0
Kaufman ISD	32.58	-96.31	0	0	0		0
Keller ISD	32.93	-97.25	0	0	0		0
Kerville ISD	30.05	-99.13	0	0	0		0
Killeen ISD	31.12	-97.71	-1	1	1		1
Klein ISD	30.05	-95.53	-1	1	1		1
La Feria ISD	26.15	-97.83	0	0	0		0
La Joya ISD	26.25	-98.48	-1	1	1		1
La Porte ISD	29.66	-95.01	0	0	0		0
Lamar CISD	29.55	-95.79	0	0	1		1
Laredo ISD	27.51	-99.47	-1	0	0		-1
Leander ISD	30.57	-97.85	0	0	0		0
Lewisville ISD	33.04	-97.04	-1	0	0		-1
Livingston ISD	30.70	-94.92	0	0	0		0
Lockhart ISD	29.88	-97.67	0	0	0		0
Longview ISD	32.49	-94.71	0	0	0		0
Los Frenos CISD	26.21	-97.49	0	0	0		0
Lubbock ISD	33.58	-101.85	-1	1	1		1
Lufkin ISD	31.34	-94.73	0	0	0		0
Magnolia ISD	30.21	-95.75	0	0	0		0
Manor ISD	30.35	-97.57	-1	1	1		1
Mansfield ISD	32.59	-97.16	0	0	0		0
Marble Falls ISD	30.59	-98.27	0	0	0		0
Marlin ISD	31.31	-96.90	0	0	0		0
Mcallen ISD	26.22	-98.24	-1	0	0		-1
Mckinney ISD	33.21	-96.63	0	0	0		0
Mercedes ISD	26.15	-97.91	0	0	1		1
Mesquite ISD	32.80	-96.64	0	0	0		0
Midland ISD	31.89	-102.17	0	0	0		0
Midway ISD	31.49	-97.25	0	0	0		0
Mission CISD	26.22	-98.31	0	0	1		1
Mullin ISD	31.56	-98.67	0	0	0		0
Nacogdoches ISD	31.59	-94.66	0	0	0		0
Navasota ISD	30.39	-96.08	0	0	0		0
New Braunfels ISD	29.70	-98.13	0	0	0		0
New Caney ISD	30.13	-95.22	-1	1	1		1
Newman International 	32.63	-96.97	0	0	0		0
North East ISD	29.52	-98.46	-1	1	1		1
Northside ISD	29.49	-98.63	-1	1	1		1
Northwest ISD	32.92	-97.37	0	0	0		0
Odyssey Academy 	29.28	-94.83	0	0	0		0
Orenda Charter 	30.66	-97.69	0	0	0		0
Pampa ISD	35.55	-100.97	0	0	0		0
Paris ISD	33.66	-95.54	0	0	0		0
Pasadena ISD	29.68	-95.21	-1	1	1		1
Paso Del Norte Academy 	31.76	-106.30	0	0	0		0
Pearland ISD	29.57	-95.29	0	0	0		0
Perryton ISD	36.38	-100.81	-1	1	0		0
Pflugerville ISD	30.45	-97.64	0	0	0		0
Pharr-San Juan-Alamo ISD	26.19	-98.18	0	0	1		1
Pine Tree ISD	32.52	-94.81	0	0	0		0
Plainview ISD	34.27	-101.75	0	0	0		0
Plano ISD	33.05	-96.77	0	0	0		0
Por Vida Academy 	29.39	-98.49	0	0	0		0
Post ISD	33.23	-101.26	0	0	0		0
Raymondville ISD	26.47	-97.78	0	0	0		0
Rice CISD	29.56	-96.51	0	0	0		0
Richardson ISD	32.94	-96.73	0	0	0		0
Rio Grande City ISD	26.51	-98.71	0	0	1		1
Robstown ISD	27.80	-97.67	0	0	0		0
Rockwall ISD	32.94	-96.45	0	0	0		0
Round Rock ISD	30.51	-97.70	0	0	0		0
San Angelo ISD	31.46	-100.43	0	0	0		0
San Antonio ISD	29.42	-98.49	0	0	0		0
San Benito CISD	26.13	-97.63	0	0	0		0
San Felipe-Del Rio ISD	29.73	-100.85	0	0	0		0
Sanger ISD	33.36	-97.17	0	0	0		0
Santa Maria ISD	26.08	-97.85	-1	0	0		-1
Schertz-Cibolo-Universal City ISD	29.56	-98.23	0	0	1		1
Seguin ISD	29.58	-97.95	0	0	0		0
Sharyland ISD	26.21	-98.29	0	0	0		0
Sheldon ISD	29.88	-95.20	0	0	0		0
Sherman ISD	33.67	-96.61	0	0	1		1
Socorro ISD	31.81	-106.23	-1	1	1		1
Somerset ISD	29.23	-98.65	0	0	1		1
South Texas ISD	26.16	-97.94	-1	1	1		1
Southwest ISD	29.31	-98.67	0	0	0		0
Southwest Prep 	29.49	-98.44	0	0	0		0
Spring Branch ISD	29.78	-95.51	-1	1	0		0
Spring ISD	29.97	-95.40	-1	1	1		1
Sweetwater ISD	32.47	-100.40	0	0	0		0
Temple ISD	31.09	-97.33	0	0	0		0
Texans Can Academy - Dallas	32.65	-96.77	-1	0	0		-1
Texans Can Academy - Fort Worth	32.65	-97.36	-1	0	0		-1
Texans Can Academy- Houston	29.79	-95.35	0	0	0		0
Texarkana ISD	33.46	-94.07	-1	0	0		-1
Texas City ISD	29.40	-94.90	-1	0	0		-1
Tomball ISD	30.11	-95.63	0	0	0		0
Tuloso-Midway ISD	27.80	-97.54	0	0	0		0
Tyler ISD	32.33	-95.34	0	0	0		0
United ISD	27.57	-99.48	0	0	0		0
Valley View ISD	26.11	-98.22	0	0	0		0
Victoria ISD	28.81	-96.98	0	0	0		0
Waco ISD	31.56	-97.13	0	0	0		0
Waxahachie ISD	32.42	-96.88	0	0	0		0
Weslaco ISD	26.17	-97.99	0	0	1		1
Wichita Falls ISD	33.89	-98.51	-1	0	0		-1
Wylie ISD	33.00	-96.54	0	0	1		1
Ysleta ISD	31.82	-106.33	-1	0	1		0
