City,Long,Lat,Longg,,,,,,,,,,,,Point x
8101 N Corrigan,-95.7,31.08,-95.7,Aug 25-31 12z,,,,,,,,,,,7.96
8167 N Segno,-96.54,30.42,96.54,Aug 25-31 12z,,,,,,,,,,,16.23
8196 NNW Moss Hill,-96.53,30.32,-96.53,Aug 25-31 12z,,,,,,,,,,,16.82
8214 N High Island,-95.08,29.55,-95.08,Aug 25-31 12z,,,,,,,,,,,40.12
8343 N High Island,-95.98,28.99,-95.98,Aug 25-31 12z,,,,,,,,,,,10.99
8344 N High Island,-96.01,28.97,-96.01,Aug 25-31 12z,,,,,,,,,,,18.26
ABERNATHY                     ,-101.86,33.84,-101.86,,,0,0,,,,,,,,0
ABERNATHY                     ,-101.76,33.88,-101.76,,,0,0,,,,,,,,0
Abernathy 3.2 NNW,-101.8618,33.88,101.8618,,,0.08,,0.11,,,,,,,0.19
ABILENE                       ,-99.68,32.41,-99.68,,,0.16,0,,,,,,,,0.16
Abilene 13.0 NNE,-99.6251,32.62,-99.6251,,0.71,0.07,,,,,,,,,0.78
Abilene 3.3 SW,-99.7758,32.42,-99.7758,0,0.52,0.07,0,0,0,0,0,,,,0.59
Abilene 4.7 SE,-99.6805,32.41,-99.6805,0,0.22,0.18,0,0,0,0,0,,,,0.4
Abilene 5.2 S,-99.7562,32.38,-99.7562,0.87,0.09,,,,,,,,,,0.96
Abilene 5.8 SSW,-99.7693,32.37,-99.7693,,0.86,0.1,,,,,,,,,0.96
Abilene 7.8 SSE,-99.6975,32.35,-99.6975,0.07,1.72,0.3,0.05,0,0,0,0,,,,2.14
Acala 2.4 NW,-105.9355,31.36,-105.9355,0,0,0,0,0,0,,0,,,,0
ADDICKS                       ,-95.77,29.8,-95.77,,,,,5.55,,,,,,,5.55
Addicks 1 ENE,-95.62,29.79,-95.62,Aug 25-31 12z,,,,,,,,,,,33.2
Addicks 1 SSW,-95.65,29.76,-95.65,Aug 25-31 12z,,,,,,,,,,,36.3
Addicks Dam,-95.6236,29.79,-95.6236,0.88,9.12,17.08,5.04,1.32,0,0,,,,,33.44
ADDICKS/ADDICKS RESERVOIR,-95.62,29.79,-95.62,,,,,,0.23,,,,,,0.23
Adkins 1.8 WNW,-98.2659,29.4,-98.2659,,0.87,2.1,0.47,,,,,,,,3.44
Adkins 6.4 SSE,-98.1993,29.31,-98.1993,0.28,1,3.26,0.92,0,0,0,0,,,,5.46
ALBANY                        ,-99.3,32.72,-99.3,,,0.01,,,,,,,,,0.01
ALBANY                  15 NNE,-99.24,32.93,-99.24,,,0.03,,,,,,,,,0.03
Aledo 2.0 W,-97.6381,32.69,-97.6381,0.32,0.07,0.14,0.13,0,,,,,,,0.66
Aledo 2.9 SW,-97.637,32.66,-97.637,0.35,0,0.12,0.13,0,0,0,0,,,,0.6
Aledo 4.1 W,-97.6745,32.69,-97.6745,1.2,,,0.23,,,,,,,,1.43
ALICE                         ,-98.02,27.74,-98.02,0.02,0.01,0.29,0,0.01,,,,,,,0.33
Allamoore 4.2 SW,-105.0696,31.06,-105.0696,0.15,0,0,0,,,,0,,,,0.15
Alpine 0.7 WSW,-103.6771,30.36,-103.6771,0.39,0,0.02,0,0,0,0,0,,,,0.41
Alpine 49.6 SSE,-103.3365,29.7,-103.3365,0,0,0.1,0,0,0,0,0,,,,0.1
Alpine 7.9 SE,-103.5797,30.28,-103.5797,0.88,0,0,0,0,0,0,0,,,,0.88
ALTAIR                        ,-96.42,29.58,-96.42,0,6.31,5.54,3.21,1.86,0,0,,,,,16.92
ALVARADO                      ,-97.22,32.44,-97.22,,,0.07,0.15,0.47,,,,,,,0.69
Alvin  ,-95.1787,29.41,-95.1787,,,,,,,,,,,,25.94
Alvin 1.6 SW,-95.2673,29.42,95.2673,1.3,5.9,8.96,10.8,5.92,0.72,,,,,,33.6
ALVORD                   4 NE ,-97.66,33.39,-97.66,,,0,0,0,0,,,,,,0
Amarillo 13.6 WSW,-102.0537,35.16,-102.0537,0.39,,,0.37,,,,,,,,0.76
Amarillo 2.9 WNW,-101.8691,35.21,-101.8691,,,,,2.2,,0,0,,,,2.2
Amarillo 3.5 SW,-101.8687,35.17,-101.8687,,,,0.12,,,,,,,,0.12
Amarillo 4.5 SE,-101.7591,35.16,-101.7591,,0.79,,0.1,,,,,,,,0.89
Amarillo 4.8 WSW,-101.8962,35.17,-101.8962,0.06,0.19,0,0.12,0,0,0,0,,,,0.37
Amarillo 4.9 SSE,-101.7997,35.13,-101.7997,0.09,0.3,,0.11,,,,,,,,0.5
Amarillo 5.0 W,-101.9062,35.2,-101.9062,,,,0.12,,,,,,,,0.12
Amarillo 7.2 SW,-101.9067,35.13,-101.9067,0.05,0,0,0.03,0,0,0,0,,,,0.08
Amarillo 9.2 S,-101.8153,35.07,-101.8153,0.03,0.05,0,0.03,0,0,,0,,,,0.11
AMISTAD                  7 S  ,-101.03,29.46,-101.03,,0.02,,0.02,,,,,,,,0.04
