Sample_#,CAMPUS,YEAR_x,CNAME_x,DNAME_x,e1_all_docs_n,e1_all_unsatgl_rm,e1_all_approgl_rm,e1_all_meetsgl_rm,e1_all_mastrgl_rm,YEAR_y,CNAME_y,DNAME_y,e2_all_docs_n,e2_all_unsatgl_rm,e2_all_approgl_rm,e2_all_meetsgl_rm,e2_all_mastrgl_rm
0,1902001,17,CAYUGA H S,CAYUGA ISD,41,34,66,41,2,18,CAYUGA H S,CAYUGA ISD,38,30,70,54,3
1,1903001,17,ELKHART H S,ELKHART ISD,107,30,70,52,7,18,ELKHART H S,ELKHART ISD,102,27,73,57,5
2,1904001,17,FRANKSTON H S,FRANKSTON ISD,67,24,76,54,6,18,FRANKSTON H S,FRANKSTON ISD,63,32,68,48,3
3,1906002,17,NECHES H S,NECHES ISD,44,32,68,52,5,18,NECHES H S,NECHES ISD,34,18,82,68,9
4,1907001,17,PALESTINE H S,PALESTINE ISD,332,47,53,35,3,18,PALESTINE H S,PALESTINE ISD,308,38,62,43,4
5,1908002,17,WESTWOOD H S,WESTWOOD ISD,141,43,57,34,0,18,WESTWOOD H S,WESTWOOD ISD,126,33,67,48,1
6,1909001,17,SLOCUM H S,SLOCUM ISD,35,29,71,54,9,18,SLOCUM H S,SLOCUM ISD,33,15,85,70,12
7,2901001,17,ANDREWS H S,ANDREWS ISD,355,45,55,39,2,18,ANDREWS H S,ANDREWS ISD,296,34,66,48,3
8,2901002,17,ANDREWS EDUCATI,ANDREWS ISD,12,67,33,17,0,18,ANDREWS EDUCATI,ANDREWS ISD,14,71,29,14,0
9,3801001,17,PINEYWOODS COMM,PINEYWOODS COMM,82,32,68,38,4,18,PINEYWOODS COMM,PINEYWOODS COMM,67,26,74,62,6
10,3902001,17,HUDSON H S,HUDSON ISD,232,29,71,55,13,18,HUDSON H S,HUDSON ISD,222,21,79,67,11
11,3902004,17,STUBBLEFIELD LR,HUDSON ISD,2,,,,,18,STUBBLEFIELD LR,HUDSON ISD,5,100,0,0,0
12,3903001,17,LUFKIN H S,LUFKIN ISD,674,45,55,34,3,18,LUFKIN H S,LUFKIN ISD,611,45,55,38,4
13,3903004,17,STUBBLEFIELD LR,LUFKIN ISD,6,100,0,0,0,18,STUBBLEFIELD LR,LUFKIN ISD,20,79,21,11,0
14,3903201,17,JUVENILE DETENT,LUFKIN ISD,9,78,22,11,0,18,JUVENILE DETENT,LUFKIN ISD,2,,,,
15,3904001,17,HUNTINGTON H S,HUNTINGTON ISD,173,39,61,46,6,18,HUNTINGTON H S,HUNTINGTON ISD,153,26,74,60,6
16,3904005,17,PRIDE ALTER SCH,HUNTINGTON ISD,5,100,0,0,0,18,PRIDE ALTER SCH,HUNTINGTON ISD,12,50,50,8,0
17,3905001,17,DIBOLL H S,DIBOLL ISD,201,48,52,36,2,18,DIBOLL H S,DIBOLL ISD,156,32,68,47,3
18,3905004,17,STUBBLEFIELD LR,DIBOLL ISD,2,,,,,18,STUBBLEFIELD LR,DIBOLL ISD,5,80,20,20,0
19,3906001,17,ZAVALLA H S,ZAVALLA ISD,33,48,52,33,0,18,ZAVALLA H S,ZAVALLA ISD,32,34,66,47,0
20,3907001,17,CENTRAL H S,CENTRAL ISD,141,42,58,36,4,18,CENTRAL H S,CENTRAL ISD,122,30,70,44,1
